iter	RMSE
171	1.753504785
172	1.749628761
173	1.732575944
174	1.728936271
175	1.722472334
176	1.708286177
177	1.703079216
178	1.699533396
179	1.696620243
180	1.692601009
181	1.689155829
182	1.685691775
183	1.679953561
184	1.676677462
185	1.661219007
186	1.650566227
187	1.646791148
188	1.643602742
189	1.640391792
190	1.631835182
191	1.619022103
192	1.616117906
193	1.60417587
194	1.599055012
195	1.595690372
196	1.587323988
197	1.578973323
198	1.571274021
199	1.562624988
200	1.549946881
201	1.546970961
202	1.543460173
203	1.540987939
204	1.536481067
205	1.525683627
206	1.514139937
207	1.503120191
208	1.500819708
209	1.498205897
210	1.495057922
211	1.492915723
212	1.490416798
213	1.484543128
214	1.481694085
215	1.478101277
216	1.469148433
217	1.46043901
218	1.458152916
219	1.449466727
220	1.447605069
221	1.444468341
222	1.437721624
223	1.434972966
224	1.427089704
225	1.42457046
226	1.421345798
227	1.419371865
228	1.411756248
229	1.40987265
230	1.408008738
231	1.40098305
232	1.393582489
233	1.385501182
234	1.383031499
235	1.381540096
236	1.379690908
237	1.37388906
238	1.372259642
239	1.365591224
240	1.359289994
241	1.355803243
242	1.350094035
243	1.345818084
244	1.34431922
245	1.341368492
246	1.334511906
247	1.332418898
248	1.329087043
249	1.325262626
250	1.319287385
251	1.318156919
252	1.317059502
253	1.314318432
254	1.312432599
255	1.308866924
256	1.307847778
257	1.301349322
258	1.300353347
259	1.296690233
260	1.295073793
261	1.293900773
262	1.292347418
263	1.291480439
264	1.285885636
265	1.283893594
266	1.279829522
267	1.278988825
268	1.273837744
269	1.272280402
270	1.2692804
271	1.2684981
272	1.262329627
273	1.261375952
274	1.255617087
275	1.254172732
276	1.251645594
277	1.250755886
278	1.249608497
279	1.248927783
280	1.245835233
281	1.241168391
282	1.237902146
283	1.236746307
284	1.232377306
285	1.231604547
286	1.229597774
287	1.225163313
288	1.22435749
289	1.22229295
290	1.219515294
291	1.213810249
292	1.212598461
293	1.209676122
294	1.208338487
295	1.203496632
296	1.200848698
297	1.200206049
298	1.195726613
299	1.195121857
300	1.190260167
301	1.184991302
302	1.184409201
303	1.183464885
304	1.178353512
305	1.174154549
306	1.1696442
307	1.164539943
308	1.158981273
309	1.156450389
310	1.151749774
311	1.148499603
312	1.146414117
313	1.143079689
314	1.139104981
315	1.136414248
316	1.136039663
317	1.132367414
318	1.132021887
319	1.127020487
320	1.122166954
321	1.121835153
322	1.119489102
323	1.115228251
324	1.110587665
325	1.108072023
326	1.104875698
327	1.103179568
328	1.101947775
329	1.098993246
330	1.095687033
331	1.0903639
332	1.08869931
333	1.086224123
334	1.0859376
335	1.083715467
336	1.081896353
337	1.07892966
338	1.078573135
339	1.076439743
340	1.074628233
341	1.07437153
342	1.070399717
343	1.066320275
344	1.064164834
345	1.061816266
346	1.060070382
347	1.058443606
348	1.054796764
349	1.051274132
350	1.048208917
351	1.044267359
352	1.040458341
353	1.038383295
354	1.035772789
355	1.033941274
356	1.032367984
357	1.02864105
358	1.0282658
359	1.026893218
360	1.024781811
361	1.021663011
362	1.019214764
363	1.017566208
364	1.015973726
365	1.015128314
366	1.011030737
367	1.007654553
368	1.00749859
369	1.005170859
370	1.002656967
371	0.9984992549
372	0.9971395265
373	0.9945159563
374	0.9915620214
375	0.9882404791
376	0.9855179966
377	0.9822648331
378	0.9810172536
379	0.9775543152
380	0.9742341469
381	0.9715255108
382	0.9683348779
383	0.9666734829
384	0.963207536
385	0.9620691467
386	0.9587005182
387	0.9555198331
388	0.9526708573
389	0.9502147581
390	0.9474228221
391	0.9445277367
392	0.9416504498
393	0.9395582021
394	0.936559952
395	0.9338563918
396	0.9319258436
397	0.9293616091
398	0.9271000848
399	0.9254479375
400	0.9238630814
401	0.9227566843
402	0.9204136759
403	0.918475479
404	0.9165155116
405	0.9137236692
406	0.911443047
407	0.9084462664
408	0.9061291206
409	0.9031672224
410	0.9009466389
411	0.8975943511
412	0.8949194799
413	0.8929009121
414	0.8898298305
415	0.8883768248
416	0.8865823984
417	0.8841398143
418	0.8824950741
419	0.8812600804
420	0.8785783774
421	0.8764658431
422	0.8746438307
423	0.8727957143
424	0.8702960626
425	0.8693293144
426	0.8676699856
427	0.8660166489
428	0.8637147804
429	0.8610941915
430	0.859305037
431	0.8575287257
432	0.8553079966
433	0.853924339
434	0.8519893567
435	0.8504535074
436	0.8489232347
437	0.8474128647
438	0.8453505879
439	0.8434205144
440	0.842260266
441	0.8390964567
442	0.8386581009
443	0.8358153815
444	0.8335017085
445	0.8308271689
446	0.8294308099
447	0.8279690756
448	0.8251604413
449	0.8238410336
450	0.8217573297
451	0.8200356194
452	0.8176124058
453	0.8157015672
454	0.8134719578
455	0.8113669106
456	0.8088208774
457	0.8069643053
458	0.805184969
459	0.8031773362
460	0.8008620983
461	0.7984972621
462	0.7963815798
463	0.795114665
464	0.794192493
465	0.7926213343
466	0.7911908866
467	0.7893602216
468	0.7876592008
469	0.7851788551
470	0.7825921992
471	0.7809904202
472	0.7797857138
473	0.7787318934
474	0.7774138377
475	0.774950525
476	0.7735892375
477	0.7715351562
478	0.7694951488
479	0.7687073971
480	0.766993348
481	0.7655119403
482	0.7640604233
483	0.7621821296
484	0.7600572892
485	0.7578616956
486	0.7566823439
487	0.7549182045
488	0.752674134
489	0.7514991014
490	0.7505221164
491	0.7486614336
492	0.7471727315
493	0.746243464
494	0.7438436678
495	0.7427889934
496	0.7413562315
497	0.7394961857
498	0.7374755411
499	0.7352848536
500	0.7333982168
501	0.7319213131
502	0.7309692307
503	0.7292677751
504	0.7273680339
505	0.7259334091
506	0.7250142904
507	0.7235061023
508	0.7214225858
509	0.7199701057
510	0.7189989118
511	0.7173859112
512	0.7163930116
513	0.7144158504
514	0.7124327797
515	0.7108911915
516	0.7101838929
517	0.709396308
518	0.7081761182
519	0.7064907021
520	0.7048683544
521	0.70360942
522	0.7025886265
523	0.7005232434
524	0.6993552144
525	0.6974965927
526	0.696446223
527	0.6946909335
528	0.6926791933
529	0.6911150177
530	0.6896853821
531	0.6884097406
532	0.6867388642
533	0.6851116126
534	0.6838722784
535	0.683062494
536	0.6814644037
537	0.6800526621
538	0.6786919774
539	0.6772883075
540	0.6763780915
541	0.6745890977
542	0.672775412
543	0.6715597424
544	0.6700590939
545	0.6687170338
546	0.6675739576
547	0.6663468299
548	0.665176397
549	0.6636816205
550	0.6625419096
551	0.6616307309
552	0.6601359332
553	0.6595401769
554	0.6585342108
555	0.6568464196
556	0.655666141
557	0.6540193585
558	0.6530619008
559	0.651927265
560	0.6508567198
561	0.649515921
562	0.6480761663
563	0.6467664297
564	0.6459573189
565	0.6447551884
566	0.6439127578
567	0.6422320455
568	0.6414168802
569	0.6396430561
570	0.6379844993
571	0.636528158
572	0.6352976419
573	0.6340202083
574	0.6324656995
575	0.6316607542
576	0.6308968258
577	0.6296743299
578	0.6285750783
579	0.6271885553
580	0.6256683182
581	0.6249000241
582	0.6245601235
583	0.623594997
584	0.6220042979
585	0.6208840334
586	0.6201609391
587	0.6191160683
588	0.6181191266
589	0.6164591559
590	0.6152614552
591	0.6140646338
592	0.6126113518
593	0.6114344825
594	0.6106433797
595	0.6094791315
596	0.6086380485
597	0.6074092282
598	0.6063495189
599	0.6051117897
600	0.6039169191
601	0.6029865411
602	0.6019397681
603	0.6004218981
604	0.5991105982
605	0.5978438096
606	0.5969239447
607	0.596369612
608	0.59543115
609	0.5943331228
610	0.5933617552
611	0.5921429194
612	0.5912272231
613	0.5898071178
614	0.5891031964
615	0.5878656017
616	0.5869885022
617	0.5858404677
618	0.5851528839
619	0.5841408325
620	0.5837950208
621	0.5829061003
622	0.5817688719
623	0.5803935837
624	0.5791758311
625	0.5782109157
626	0.5773975801
627	0.5764001265
628	0.5753619212
629	0.5745053411
630	0.5730902832
631	0.5725293687
632	0.5717433029
633	0.5714213972
634	0.5707286859
635	0.569827815
636	0.5686428091
637	0.5673452834
638	0.5661656785
639	0.5649650729
640	0.564391467
641	0.5635211367
642	0.5631319658
643	0.5621528645
644	0.5615928355
645	0.5603974605
646	0.5590900841
647	0.5577713735
648	0.5574211106
649	0.55653494
650	0.5554513286
651	0.555173149
652	0.5536542607
653	0.5524759367
654	0.5514718558
655	0.5503635431
656	0.5489932029
657	0.5482368325
658	0.5473559271
659	0.5461479566
660	0.5454873671
661	0.5442435209
662	0.5429637334
663	0.5417260254
664	0.540752589
665	0.5402856653
666	0.5394431797
667	0.5391906202
668	0.5380871231
669	0.5370664138
670	0.5365280729
671	0.5355108357
672	0.5346866121
673	0.5341294563
674	0.5336178947
675	0.5329741404
676	0.5324173744
677	0.5320481597
678	0.5309506341
679	0.5300134402
680	0.5291952385
681	0.5286974765
682	0.5276461493
683	0.5269352713
684	0.5263100136
685	0.525389558
686	0.5248914816
687	0.5240045006
688	0.523116637
689	0.5221732247
690	0.5215129945
691	0.5205124291
692	0.5201930568
693	0.5190672846
694	0.5187587024
695	0.5182882233
696	0.5172282733
697	0.5163452033
698	0.515304005
699	0.514429179
700	0.5137437975
701	0.5132402984
702	0.5123185111
703	0.5111170688
704	0.5099250581
705	0.5088343891
706	0.5080986225
707	0.5070334329
708	0.506113553
709	0.505694971
710	0.5049163585
711	0.5042174832
712	0.5035509747
713	0.5025670746
714	0.5019260063
715	0.5010397677
716	0.5003903454
717	0.4994749923
718	0.499012845
719	0.4981787033
720	0.4974481171
721	0.4966261181
722	0.4955162147
723	0.494697011
724	0.4938477744
725	0.4931292991
726	0.4925388451
727	0.4916637617
728	0.4913447519
729	0.4904109631
730	0.4896207644
731	0.488682447
732	0.4878053089
733	0.486987444
734	0.4862962809
735	0.485210096
736	0.4843985581
737	0.4834731424
738	0.4827017351
739	0.4818570891
740	0.4810636927
741	0.4804179677
742	0.4801835425
743	0.4793889794
744	0.4787188887
745	0.477965075
746	0.4770947366
747	0.4766766655
748	0.4758529154
749	0.4756423637
750	0.4748089394
751	0.4738885137
752	0.4729134856
753	0.4719947229
754	0.4711487881
755	0.4708662999
756	0.4702545776
757	0.4694602737
758	0.4690715751
759	0.4687198176
760	0.4678452323
761	0.4670771837
762	0.4662321388
763	0.4654462981
764	0.4646498649
765	0.4636680854
766	0.4632868516
767	0.4624215991
768	0.4616296479
769	0.4607973849
770	0.4600231867
771	0.4591983733
772	0.4588355077
773	0.4580232409
774	0.4575386748
775	0.4565283702
776	0.4558680977
777	0.4550641698
778	0.4546061062
779	0.4540005259
780	0.4532182717
781	0.4525532795
782	0.4519775995
783	0.4511750618
784	0.4505738835
785	0.4498371797
786	0.4494378139
787	0.448561782
788	0.447848853
789	0.4473349305
790	0.4464494851
791	0.445757944
792	0.4452037746
793	0.4444503054
794	0.4440222266
795	0.4433140317
796	0.4428984874
797	0.4424664323
798	0.4414877184
799	0.4411796403
800	0.4406034445
801	0.4398440004
802	0.4390789355
803	0.4382346398
804	0.4378228049
805	0.4373081453
806	0.4371388733
807	0.4366626406
808	0.4363186259
809	0.4356719659
810	0.435162412
811	0.4344237442
812	0.4338146488
813	0.4334941308
814	0.4329111046
815	0.432746216
816	0.4322786975
817	0.4316658068
818	0.4310455462
819	0.4304172432
820	0.4297058129
821	0.4289375103
822	0.4284699454
823	0.4281700562
824	0.428017257
825	0.4273217028
826	0.4268130675
827	0.426176116
828	0.4255704279
829	0.4248564207
830	0.4244222835
831	0.4237758721
832	0.4232536036
833	0.4224605197
834	0.4218909805
835	0.4216547327
836	0.4209662568
837	0.420350967
838	0.4199775098
839	0.4192242268
840	0.4187378704
841	0.4180976359
842	0.4179262693
843	0.4172947945
844	0.4167553011
845	0.4161392429
846	0.4156965955
847	0.4152782765
848	0.4145809439
849	0.4139583681
850	0.4133378911
851	0.4125759675
852	0.4119865479
853	0.4113805973
854	0.4105758097
855	0.4100141478
856	0.4093047128
857	0.4086589789
858	0.4083975274
859	0.4076818541
860	0.4072862466
861	0.4065293193
862	0.4062786015
863	0.4057329451
864	0.4055005282
865	0.4049079675
866	0.4047559776
867	0.4041250818
868	0.4035189492
869	0.4032713418
870	0.4027163676
871	0.4020212897
872	0.4012465031
873	0.4008094534
874	0.4002476258
875	0.3995885451
876	0.3990533738
877	0.3988551583
878	0.3983472989
879	0.3977245476
880	0.397177644
881	0.396927538
882	0.3963091574
883	0.395938413
884	0.3956987024
885	0.3951692549
886	0.3947854275
887	0.3944777892
888	0.3938733901
889	0.3934404221
890	0.3926450999
891	0.3923111769
892	0.3916798131
893	0.3913876865
894	0.3908879006
895	0.3903122263
896	0.3896419129
897	0.3890668539
898	0.3886136143
899	0.3880031817
900	0.3874009818
901	0.3868455031
902	0.3864465724
903	0.385727162
904	0.3855365799
905	0.3848631053
906	0.3844842152
907	0.3840508782
908	0.3832910206
909	0.3826013708
910	0.3820965455
911	0.3815945061
912	0.3813213174
913	0.3808241714
914	0.3803310301
915	0.3797906251
916	0.3793740011
917	0.3788381578
918	0.3787255457
919	0.3782832363
920	0.3777698823
921	0.3772007675
922	0.376822724
923	0.3763296616
924	0.3760593398
925	0.3754615352
926	0.3750994007
927	0.3745377682
928	0.3740963742
929	0.3734977398
930	0.3728898378
931	0.3727214903
932	0.3720220598
933	0.3714921671
934	0.3710400742
935	0.3704326912
936	0.3698787616
937	0.3692030117
938	0.3688764502
939	0.3684310505
940	0.3678709228
941	0.3674201365
942	0.3668550602
943	0.3662685291
944	0.3661405814
945	0.3657677995
946	0.3651186975
947	0.3646118953
948	0.3641500677
949	0.3639681571
950	0.3637274394
951	0.3631910647
952	0.3626767751
953	0.3623995481
954	0.3619342718
955	0.3613864234
956	0.3609918247
957	0.3609034957
958	0.3605734425
959	0.3598576979
960	0.35959655
961	0.3592836407
962	0.3589219935
963	0.3583345165
964	0.3582015275
965	0.3576770953
966	0.3574629146
967	0.3569655997
968	0.356846182
969	0.3561773422
970	0.3556673956
971	0.3551903105
972	0.3546571193
973	0.3542349708
974	0.3537066096
975	0.3531714661
976	0.3526061145
977	0.352341982
978	0.3517484106
979	0.3512566887
980	0.3507675301
981	0.3504872561
982	0.3500561346
983	0.3496269025
984	0.3493923797
985	0.348782062
986	0.34863483
987	0.3482948601
988	0.347626737
989	0.3473032227
990	0.3469643536
991	0.3464991823
992	0.3462260986
993	0.345700659
994	0.3451951974
995	0.3449640759
996	0.3446527414
997	0.3443489673
998	0.3439404147
999	0.343605102
